imu_filepath,sensor_idx
/mnt/sting/yewon/EE595_BeatSaver/rawdata/data/f3_yewon.csv,288
/mnt/sting/yewon/EE595_BeatSaver/rawdata/data/f3_haerang.csv,89
/mnt/sting/yewon/EE595_BeatSaver/rawdata/data/f3_re_yewon.csv,1226
/mnt/sting/yewon/EE595_BeatSaver/rawdata/data/f3_400hz.csv,8715
/mnt/sting/yewon/EE595_BeatSaver/rawdata/data/p3_400hz.csv,5162
/mnt/sting/yewon/EE595_BeatSaver/rawdata/data/f4_400hz.csv,"11797	"
/mnt/sting/yewon/EE595_BeatSaver/rawdata/data/f2_400hz.csv,7543
/mnt/sting/yewon/EE595_BeatSaver/rawdata/data/demo_3beat.csv,13767
/mnt/sting/yewon/EE595_BeatSaver/rawdata/data/p4_400hz.csv,"6610	"
/mnt/sting/yewon/EE595_BeatSaver/rawdata/data/demo_3.csv,6744
/mnt/sting/yewon/EE595_BeatSaver/rawdata/data/demo_2.csv,"6656	"
/mnt/sting/yewon/EE595_BeatSaver/rawdata/data/demo_4.csv,"6939	"
/mnt/sting/yewon/EE595_BeatSaver/rawdata/data/demo_2_re.csv,5389
